French_Muni;Swiss_Muni;local_admin_unit_id_from;local_admin_unit_id_to;nb_vehicles
Breitenbach-Haut-Rhin - Rhin (Haut-) - fr-68051;Basel - Bâle-Ville - ch-2701;fr-68051;ch-2701;0.816388793
Bretten - Rhin (Haut-) - fr-68052;Basel - Bâle-Ville - ch-2701;fr-68052;ch-2701;1.411931283
Brinckheim - Rhin (Haut-) - fr-68054;Basel - Bâle-Ville - ch-2701;fr-68054;ch-2701;9.873154819
Bruebach - Rhin (Haut-) - fr-68055;Basel - Bâle-Ville - ch-2701;fr-68055;ch-2701;25.56142701
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Basel - Bâle-Ville - ch-2701;fr-68056;ch-2701;184.0740872
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Riehen - Bâle-Ville - ch-2703;fr-68056;ch-2703;3.633602621
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Boncourt - Jura - ch-6774;fr-68056;ch-6774;1.901707781
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Delémont - Jura - ch-6711;fr-68056;ch-6711;4.027913302
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Haute-Sorne - Jura - ch-6729;fr-68056;ch-6729;1.254247487
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Le Noirmont - Jura - ch-6754;fr-68056;ch-6754;1.178236843
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Les Breuleux - Jura - ch-6743;fr-68056;ch-6743;0.805370532
Brunstatt-Didenheim - Rhin (Haut-) - fr-68056;Porrentruy - Jura - ch-6800;fr-68056;ch-6800;3.634294013
Buethwiller - Rhin (Haut-) - fr-68057;Basel - Bâle-Ville - ch-2701;fr-68057;ch-2701;2.019521552
Buhl - Rhin (Haut-) - fr-68058;Basel - Bâle-Ville - ch-2701;fr-68058;ch-2701;8.442690163
Burnhaupt-le-Bas - Rhin (Haut-) - fr-68059;Basel - Bâle-Ville - ch-2701;fr-68059;ch-2701;5.037173196
Burnhaupt-le-Haut - Rhin (Haut-) - fr-68060;Basel - Bâle-Ville - ch-2701;fr-68060;ch-2701;4.379092329
Buschwiller - Rhin (Haut-) - fr-68061;Basel - Bâle-Ville - ch-2701;fr-68061;ch-2701;24.40160121
Carspach - Rhin (Haut-) - fr-68062;Basel - Bâle-Ville - ch-2701;fr-68062;ch-2701;14.68739315
Cernay - Rhin (Haut-) - fr-68063;Basel - Bâle-Ville - ch-2701;fr-68063;ch-2701;26.74723594
